tipo_registro,id,categoria_o_escalon,titulo_o_pregunta,respuesta_o_instruccion,fuente_datos,recursos_sugeridos,requiere_datos_personales,tipo_respuesta,ambito,tipo_caso,riesgo_vital,contacto_oficial,horario,cobertura,que_no_debe_prometer,fuente_url,fecha_verificacion,nivel_confianza,notas
pregunta,P001,1. Avance curricular y malla,"Con los ramos que tengo aprobados, ¿cuánto me falta para egresar?","Avance curricular: créditos aprobados/faltantes, asignaturas restantes y advertencias.",Registro del alumno + Malla curricular,R19,Si,Calculo determinista,,,,,,,,,,,
pregunta,P002,1. Avance curricular y malla,¿Cuál es mi porcentaje real de avance de carrera?,Cálculo del avance por créditos SCT y por asignaturas.,Registro del alumno + Malla curricular,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P003,1. Avance curricular y malla,¿Cuántos créditos SCT llevo aprobados en total?,Suma de créditos aprobados a la fecha.,Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P004,1. Avance curricular y malla,¿Qué asignaturas de la malla aún no he cursado?,Listado de asignaturas pendientes según malla y registro.,Registro del alumno + Malla curricular,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P005,1. Avance curricular y malla,¿En qué semestre de la malla estoy realmente según lo aprobado?,Ubicación efectiva en la malla (no la nominal).,Registro del alumno + Malla curricular,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P006,1. Avance curricular y malla,"¿Voy adelantado, al día o atrasado respecto a mi cohorte?",Comparación entre avance esperado y avance real.,Registro del alumno + Malla curricular,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P007,1. Avance curricular y malla,¿Cuántos créditos de electivos o formación general me faltan?,Créditos electivos/FG requeridos vs. cursados.,Registro del alumno + Malla curricular,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P008,1. Avance curricular y malla,¿Qué ramos electivos me faltan por tomar?,Electivos pendientes y oferta asociada.,Registro del alumno + Malla + Oferta electivos,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P009,1. Avance curricular y malla,"Si sigo el plan sugerido, ¿en qué semestre egreso?",Proyección de egreso bajo el plan estándar.,Malla curricular + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P010,1. Avance curricular y malla,¿Qué pasa si apruebo todos menos uno este semestre?,Escenario académico proyectado y su efecto en la malla.,Malla curricular + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P011,1. Avance curricular y malla,¿Puedo cambiarme a la malla nueva y qué implica?,Condiciones del cambio de malla y su impacto; derivar para autorización.,Reglamento + Malla + Secretaría Académica,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P012,1. Avance curricular y malla,¿Qué asignaturas se me convalidan si migro desde la malla antigua?,Tabla de equivalencias entre mallas; casos límite se derivan.,Tabla de equivalencias de malla,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P013,2. Prerrequisitos y dependencias,¿Estoy tomando un ramo que depende de otro que aún no apruebo?,Validación de prerrequisitos de la inscripción actual.,Malla curricular + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P014,2. Prerrequisitos y dependencias,¿Qué ramos necesito aprobar antes de tomar [X]?,Prerrequisitos directos de la asignatura.,Malla curricular,,No,Dato directo,,,,,,,,,,,
pregunta,P015,2. Prerrequisitos y dependencias,¿Para qué ramos es prerrequisito [X]?,Asignaturas posteriores que dependen de [X].,Malla curricular,,No,Dato directo,,,,,,,,,,,
pregunta,P016,2. Prerrequisitos y dependencias,¿Puedo tomar [X] e [Y] al mismo tiempo o uno es requisito del otro?,Relación de prerrequisito/correquisito entre ambos.,Malla curricular,,No,Dato directo,,,,,,,,,,,
pregunta,P017,2. Prerrequisitos y dependencias,¿Qué ramos se me desbloquean si apruebo [X] este semestre?,Asignaturas que se habilitan al aprobar [X].,Malla + Registro del alumno,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P018,2. Prerrequisitos y dependencias,¿Hay correquisitos que deba tomar junto con [X]?,Correquisitos declarados de la asignatura.,Malla curricular,,No,Dato directo,,,,,,,,,,,
