intencion,ejemplos_usuario,respuesta,prioridad,usar_carrera,pasar_a_rag,cierre
saludo,"hola|hola como estas|hola, como estas|hola que tal|buenas|buenas tardes|buenas noches|buenos dias|que tal|hey|holi|saludos","¡Hola! 👋 Todo bien por acá. Puedo ayudarte con malla, ramos, avance académico, prerrequisitos o documentos de {carrera}.",10,si,no,"¿Por dónde quieres partir: malla, ramos, prerrequisitos o alertas académicas?"
agradecimiento,gracias|muchas gracias|mil gracias|te agradezco|vale|perfecto|genial|excelente|buenisimo,"De nada 🙌. Cuando quieras, puedes preguntarme por ramos, requisitos, avance académico o documentos cargados.",10,no,no,"¿Quieres revisar otro ramo o prefieres ver tus alertas académicas?"
identidad,quien eres|quien eres tu|con quien hablo|eres un robot|eres una ia|eres un bot|eres humano|que es este chatbot|que es este asistente,Soy el asistente académico virtual de la Facultad de Ingeniería y Negocios. Trabajo con datos sintéticos y documentos locales; no reemplazo a coordinación ni a Registro Académico.,10,no,no,"¿Quieres que te cuente qué puedo responder en esta demo?"
capacidades,que puedes hacer|que sabes hacer|en que me puedes ayudar|que haces|para que sirves|que funciones tienes|que puedes responder|en que consulta puedes ayudarme,"Puedo ayudarte a consultar ramos, programas, contenidos, evaluación, bibliografía, avance académico demo, prerrequisitos y alertas académicas de {carrera}.",10,si,no,"¿Quieres que empecemos por tu malla, tus ramos inscritos o una duda puntual?"
ayuda,ayuda|necesito ayuda|me puedes ayudar|no se que preguntar|no se como usar esto|como funciona esto,"Claro. Puedes preguntarme, por ejemplo: “¿qué ramos tengo inscritos?”, “¿qué contenidos tiene tal ramo?” o “¿tengo prerrequisitos pendientes?”. También puedes usar las preguntas rápidas sugeridas más abajo.",20,no,no,"¿Prefieres partir por tus ramos inscritos o por una pregunta específica?"
carreras_disponibles,que carreras tienes|que carreras hay|que carreras puedo consultar|en que carreras funcionas|que carreras maneja este asistente,Ahora mismo puedo responder sobre: {carreras_disponibles}. Cambia de carrera desde el panel lateral cuando quieras.,10,no,no,"¿Quieres que te explique la diferencia entre ambas carreras?"
perfiles_disponibles,que perfiles hay|que roles hay|que vistas hay|que perfiles tienes|que perfiles puedo usar,Hay tres perfiles simulados: {perfiles_disponibles}. Ninguno requiere autenticación real; son solo vistas distintas de la misma demostración.,10,no,no,"¿Quieres cambiar de perfil desde el panel lateral para explorar otra vista?"
semaforo_explicacion,que significa el semaforo|que es el semaforo|como funciona el semaforo|que indica el semaforo|para que sirve el semaforo,"El semáforo académico resume tu situación con reglas simples: verde es avance normal, amarillo indica atención (por ejemplo, un ramo reprobado o un prerrequisito en riesgo medio) y rojo indica riesgo académico (dos o más reprobados, o un prerrequisito en riesgo alto). Se calcula solo con tu historial y tus prerrequisitos cargados, nunca con datos oficiales inventados.",10,no,no,"¿Quieres que revisemos tu semáforo académico actual?"
despedida,chao|chau|adios|adiós|hasta luego|nos vemos|me tengo que ir|eso seria todo|eso es todo por hoy|eso sería todo por ahora,"¡Que estés muy bien! Vuelve cuando quieras seguir revisando tu malla, ramos o prerrequisitos. Recuerda que esta es una demo: para trámites oficiales, confírmalo siempre con coordinación o secretaría académica.",10,no,no,
limitaciones_demo,que no puedes hacer|cuales son tus limitaciones|que limitaciones tiene este demo|esto es informacion oficial|esto reemplaza a coordinacion|esto es un sistema oficial,"Soy una demo académica: trabajo con datos sintéticos/locales y documentos cargados manualmente. No hago trámites, no reemplazo a coordinación ni a Registro Académico, y mis respuestas no deben tomarse como confirmación oficial.",10,no,no,"¿Quieres que te cuente qué sí puedo ayudarte a revisar?"
